Date,Price,Open,High,Low,Change %
5/30/17,0.1956,0.2245,0.231,0.1936,-12.87
5/29/17,0.2245,0.2163,0.2375,0.198,3.79
5/28/17,0.2163,0.203,0.2362,0.1801,6.55
5/27/17,0.203,0.2588,0.2718,0.12,-21.56
5/26/17,0.2588,0.2324,0.32,0.2231,11.36
5/25/17,0.2324,0.286,0.29,0.2006,-18.74
5/24/17,0.286,0.317,0.3335,0.285,-9.78
5/23/17,0.317,0.2982,0.3479,0.2808,6.3
5/22/17,0.2982,0.326,0.3367,0.262,-8.53
5/21/17,0.326,0.3485,0.365,0.321,-6.46
5/20/17,0.3485,0.321,0.3697,0.295,8.57
5/19/17,0.321,0.368,0.3685,0.2862,-12.77
5/18/17,0.368,0.392,0.41,0.32,-6.12
5/17/17,0.392,0.3554,0.4345,0.31,10.3
5/16/17,0.3554,0.276,0.3554,0.27,28.77
5/15/17,0.276,0.2217,0.276,0.221,24.49
5/14/17,0.2217,0.2188,0.228,0.2096,1.33
5/13/17,0.2188,0.2129,0.2288,0.198,2.77
5/12/17,0.2129,0.1868,0.2147,0.18,13.97
5/11/17,0.1868,0.1899,0.1983,0.165,-1.63
5/10/17,0.1899,0.16,0.201,0.1532,18.69
5/9/17,0.16,0.1964,0.2189,0.129,-18.53
5/8/17,0.1964,0.1449,0.25,0.137,35.54
5/7/17,0.1449,0.1034,0.154,0.1,40.14
5/6/17,0.1034,0.09353,0.108,0.09292,10.55
5/5/17,0.09353,0.083,0.11,0.078,12.69
5/4/17,0.083,0.06614,0.0911,0.064,25.49
5/3/17,0.06614,0.058,0.06724,0.0562,14.03
5/2/17,0.058,0.05941,0.0601,0.05507,-2.37
5/1/17,0.05941,0.055,0.0622,0.05321,8.02
4/30/17,0.055,0.057,0.06,0.053,-3.51
4/29/17,0.057,0.04784,0.06338,0.04774,19.15
4/28/17,0.04784,0.03806,0.0486,0.0377,25.7
4/27/17,0.03806,0.03582,0.03921,0.03465,6.25
4/26/17,0.03582,0.03504,0.03656,0.03463,2.23
4/25/17,0.03504,0.03376,0.0367,0.03364,3.79
4/24/17,0.03376,0.03475,0.03475,0.03331,-2.85
4/23/17,0.03475,0.03477,0.0349,0.03398,-0.06
4/22/17,0.03477,0.03531,0.03593,0.03325,-1.53
4/21/17,0.03531,0.03175,0.03673,0.031,11.21
4/20/17,0.03175,0.03105,0.03236,0.028,2.25
4/19/17,0.03105,0.03471,0.03473,0.0304,-10.54
4/18/17,0.03471,0.0347,0.03564,0.03383,0.03
4/17/17,0.0347,0.03411,0.03501,0.03351,1.73
4/16/17,0.03411,0.03444,0.03465,0.0338,-0.96
