Date,Price,Open,High,Low,Change %
6/9/17,278.41,256.95,279.9,256.95,8.35
6/8/17,256.95,250.7,258.93,242.04,2.49
6/7/17,250.7,261.89,263.7,241.01,-4.27
6/6/17,261.89,242.16,264.99,238.23,8.15
6/5/17,242.16,241.06,244.29,231.72,0.46
6/4/17,241.06,217.01,245.98,216.1,11.08
6/3/17,217.01,214.77,217.99,210.01,1.04
6/2/17,214.77,211.4,219.21,208.23,1.59
6/1/17,211.4,218.34,227.32,196,-3.18
5/31/17,218.34,224.69,230.55,200.9,-2.83
5/30/17,224.69,189.99,229.98,182,18.26
5/29/17,189.99,161.91,191.3,155.01,17.34
5/28/17,161.91,149.99,172.79,149.66,7.95
5/27/17,149.99,152.8,161,110.42,-1.84
5/26/17,152.8,168.71,187,143.64,-9.43
5/25/17,168.71,183.88,206.06,155,-8.25
5/24/17,183.88,168.24,197.41,166.33,9.3
5/23/17,168.24,154.92,174.3,148.6,8.6
5/22/17,154.92,146.14,190,136.8,6.01
5/21/17,146.14,123.03,146.4,122.32,18.78
5/20/17,123.03,124.4,128.95,119.54,-1.1
5/19/17,124.4,98.6,129.25,98.31,26.17
5/18/17,98.6,89.67,98.89,89.42,9.96
5/17/17,89.67,88.17,90.93,83.77,1.7
5/16/17,88.17,92.56,93.48,85.43,-4.74
5/15/17,92.56,90.37,95.17,90.37,2.42
5/14/17,90.37,89.9,91.92,88.11,0.52
5/13/17,89.9,86.99,89.99,84.5,3.35
5/12/17,86.99,89.38,92,83.85,-2.67
5/11/17,89.38,88.33,91.5,87.35,1.19
5/10/17,88.33,88.94,92.46,86.6,-0.69
5/9/17,88.94,88.97,91.1,77.76,-0.03
5/8/17,88.97,94.21,95.48,88.11,-5.56
5/7/17,94.21,96.65,98,90.89,-2.52
5/6/17,96.65,91.5,96.84,90.53,5.63
5/5/17,91.5,99.2,101.7,88.2,-7.76
5/4/17,99.2,85.79,99.78,84.61,15.63
5/3/17,85.79,82.01,86.62,81,4.61
5/2/17,82.01,81.4,85.18,79.49,0.75
5/1/17,81.4,83.51,88.1,66,-2.53
4/30/17,83.51,73.55,84,72.6,13.54
4/29/17,73.55,76,77.6,71.2,-3.22
4/28/17,76,68,77.4,66,11.76
4/27/17,68,57.31,68,56.92,18.65
4/26/17,57.31,53.9,58.38,53.66,6.33
4/25/17,53.9,53.54,54.21,53.25,0.67
